"","Locality","Assemblage.name","GeoLayer","Age","Pos..standard.deviation","Dating.method"
"427","Abric Romaní","Level D Macromammal Fauna","Sequence I","40700","600","U series (uranium-thorium) dating"
"429","Abric Romaní","Level D Macromammal Fauna","Sequence I","41000","300","U series (uranium-thorium) dating"
"431","Abric Romaní","Level D Macromammal Fauna","Sequence I","41300","300","U series (uranium-thorium) dating"
"433","Abric Romaní","Level D Macromammal Fauna","Sequence I","41300","400","U series (uranium-thorium) dating"
"435","Abric Romaní","Level D Macromammal Fauna","Sequence I","42100","300","U series (uranium-thorium) dating"
"437","Abric Romaní","Level D Macromammal Fauna","Sequence I","42300","300","U series (uranium-thorium) dating"
"439","Abric Romaní","Level D Macromammal Fauna","Sequence I","42500","200","U series (uranium-thorium) dating"
"441","Abric Romaní","Level D Macromammal Fauna","Sequence I","42600","300","U series (uranium-thorium) dating"
"443","Abric Romaní","Level D Macromammal Fauna","Sequence I","42600","400","U series (uranium-thorium) dating"
"445","Abric Romaní","Level D Macromammal Fauna","Sequence I","42700","200","U series (uranium-thorium) dating"
"447","Abric Romaní","Level D Macromammal Fauna","Sequence I","43000","800","U series (uranium-thorium) dating"
"449","Abric Romaní","Level D Macromammal Fauna","Sequence I","43100","1200","U series (uranium-thorium) dating"
"451","Abric Romaní","Level D Macromammal Fauna","Sequence I","44400","300","U series (uranium-thorium) dating"
"453","Abric Romaní","Level D Macromammal Fauna","Sequence I","45700","1300","U series (uranium-thorium) dating"
"455","Abric Romaní","Level D Macromammal Fauna","Sequence I","45900","1300","U series (uranium-thorium) dating"
"457","Abric Romaní","Level D Macromammal Fauna","Sequence I","47100","300","U series (uranium-thorium) dating"
"459","Abric Romaní","Level D Macromammal Fauna","Sequence I","52300","400","U series (uranium-thorium) dating"
"461","Abric Romaní","Level D Macromammal Fauna","Sequence I","56800","800","U series (uranium-thorium) dating"
"463","Abric Romaní","Level D Macromammal Fauna","Sequence I","44900","2500","U series (uranium-thorium) dating"
"465","Abric Romaní","Level D Macromammal Fauna","Sequence I","44600","1500","U series (uranium-thorium) dating"
"467","Abric Romaní","Level D Macromammal Fauna","Sequence I","44200","1500","U series (uranium-thorium) dating"
"469","Abric Romaní","Level D Macromammal Fauna","Sequence I","43400","1000000","U series (uranium-thorium) dating"
"471","Abric Romaní","Level D Macromammal Fauna","Sequence I","44400","1000000","U series (uranium-thorium) dating"
"473","Abric Romaní","Level D Macromammal Fauna","Sequence I","45600","1000000","U series (uranium-thorium) dating"
"475","Abric Romaní","Level D Macromammal Fauna","Sequence I","40680","940","14C (radiocarbon) dating"
"477","Abric Romaní","Level D Macromammal Fauna","Sequence I","44900","2500","U series (uranium-thorium) dating"
"478","Abric Romaní","Level E Macromammal Fauna","Sequence II","43200","1100","14C (radiocarbon) dating"
"480","Abric Romaní","Level E Macromammal Fauna","Sequence II","36400","1400","U series (uranium-thorium) dating"
"482","Abric Romaní","Level E Macromammal Fauna","Sequence II","38100","900","U series (uranium-thorium) dating"
"484","Abric Romaní","Level E Macromammal Fauna","Sequence II","44500","1200","14C (radiocarbon) dating"
"486","Abric Romaní","Level E Macromammal Fauna","Sequence II","44140","5930","14C (radiocarbon) dating"
"488","Abric Romaní","Level E Macromammal Fauna","Sequence II","49000","1500","U series (uranium-thorium) dating"
"490","Abric Romaní","Level E Macromammal Fauna","Sequence II","46500","1100","U series (uranium-thorium) dating"
"492","Abric Romaní","Level E Macromammal Fauna","Sequence II","45100","3100","U series (uranium-thorium) dating"
"493","Abric Romaní","Level F Macromammal Fauna","Sequence II","43200","1100","14C (radiocarbon) dating"
"495","Abric Romaní","Level F Macromammal Fauna","Sequence II","36400","1400","U series (uranium-thorium) dating"
"497","Abric Romaní","Level F Macromammal Fauna","Sequence II","38100","900","U series (uranium-thorium) dating"
"499","Abric Romaní","Level F Macromammal Fauna","Sequence II","44500","1200","14C (radiocarbon) dating"
"501","Abric Romaní","Level F Macromammal Fauna","Sequence II","44140","5930","14C (radiocarbon) dating"
"503","Abric Romaní","Level F Macromammal Fauna","Sequence II","49000","1500","U series (uranium-thorium) dating"
"505","Abric Romaní","Level F Macromammal Fauna","Sequence II","46500","1100","U series (uranium-thorium) dating"
"507","Abric Romaní","Level F Macromammal Fauna","Sequence II","45100","3100","U series (uranium-thorium) dating"
"508","Abric Romaní","Level G Macromammal Fauna","Sequence II","43200","1100","14C (radiocarbon) dating"
"510","Abric Romaní","Level G Macromammal Fauna","Sequence II","36400","1400","U series (uranium-thorium) dating"
"512","Abric Romaní","Level G Macromammal Fauna","Sequence II","38100","900","U series (uranium-thorium) dating"
"514","Abric Romaní","Level G Macromammal Fauna","Sequence II","44500","1200","14C (radiocarbon) dating"
"516","Abric Romaní","Level G Macromammal Fauna","Sequence II","44140","5930","14C (radiocarbon) dating"
"518","Abric Romaní","Level G Macromammal Fauna","Sequence II","49000","1500","U series (uranium-thorium) dating"
"520","Abric Romaní","Level G Macromammal Fauna","Sequence II","46500","1100","U series (uranium-thorium) dating"
