"","Locality","Assemblage.name","GeoLayer","Age","Pos..standard.deviation","Dating.method"
"230","Azokh-1 Cave","Azokh 1, Unit II/III, coll. 2002-2009 micromammals","Unit II","-","-","-"
"231","Azokh-1 Cave","Azokh 1, Unit II/III, coll. 2002-2009 micromammals","Unit III","-","-","-"
"232","Azokh-1 Cave","Azokh 1, Unit II, coll. 2002-2009 micromammals","Unit II","-","-","-"
"233","Baigara","Baigara Irtysh river fauna","Irtysh river","-","-","-"
"234","Balver Cave","Layer A V Macromammal Fauna","layer A V","-","-","-"
"235","Balver Cave","Layer C IIa Macromammal Fauna","layer A II/ B II (6-5)","-","-","-"
"236","Balver Cave","Layer B IIIa Macromammal Fauna","layer A III/ B III (4-3)","-","-","-"
"237","Balver Cave","Layer 1 Macromammal Fauna","layer A III/ B IIIa (2-1)","-","-","-"
"238","Balver Cave","Layer 2 Macromammal Fauna","layer A III/ B IIIa (2-1)","-","-","-"
"239","Balver Cave","Layer A III Macromammal Fauna","layer A III/ B III (4-3)","-","-","-"
"240","Balver Cave","Layer 3 Macromammal Fauna","layer A III/ B III (4-3)","-","-","-"
"241","Balver Cave","Layer 4 Macromammal Fauna","layer A III/ B III (4-3)","-","-","-"
"242","Balver Cave","Layer B III Macromammal Fauna","layer A III/ B III (4-3)","-","-","-"
"243","Balver Cave","Layer 5 Macromammal Fauna","layer A II/ B II (6-5)","-","-","-"
"244","Balver Cave","Layer 7 Macromammal Fauna","layer A I/ B I (10-7)","-","-","-"
"245","Balver Cave","Layer 9 Macromammal Fauna","layer A I/ B I (10-7)","-","-","-"
"246","Balver Cave","Layer 11 Macromammal Fauna","layer A I/ B I (10-7)","-","-","-"
"247","Balver Cave","Layer A II Macromammal Fauna","layer A II/ B II (6-5)","-","-","-"
"248","Balver Cave","Layer B II Macromammal Fauna","layer A II/ B II (6-5)","-","-","-"
"249","Balver Cave","Layer 6 Macromammal Fauna","layer A II/ B II (6-5)","-","-","-"
"250","Balver Cave","Layer B I Macromammal Fauna","layer A I/ B I (10-7)","-","-","-"
"251","Balver Cave","Layer 8 Macromammal Fauna","layer A I/ B I (10-7)","-","-","-"
"252","Balver Cave","Layer 10 Macromammal Fauna","layer A I/ B I (10-7)","-","-","-"
"253","Balver Cave","Layer 12 Macromammal Fauna","layer A I/ B I (10-7)","-","-","-"
"254","Balver Cave","Layer B V Macromammal Fauna","layer A V","-","-","-"
"255","Balver Cave","Layer C V Macromammal Fauna","layer A V","-","-","-"
"256","Ban Fa Suai I","Area 1, Fauna","Unit III","-","-","-"
"257","Ban Fa Suai I","Surface, Fauna","Unit III","-","-","-"
"258","Ban Fa Suai I","Area 1, micromammals","Unit III","-","-","-"
"259","Ban Fa Suai I","Surface, micromammals","Unit III","-","-","-"
"260","Ban Fa Suai II","Unit 2, Fauna","Unit 2","-","-","-"
"261","Ban Fa Suai II","Unit 2, micromammals","Unit 2","-","-","-"
"262","Baojiyan","Baojiyan fauna","Layer 1","-","-","-"
"263","Baojiyan","Baojiyan fauna","Layer 2","-","-","-"
"264","Baojiyan","Baojiyan fauna","Layer 3","-","-","-"
"265","Barakai","Barakai Layer 2 human remains","Layer 2","-","-","-"
"266","Barakai","Barakai Layer 2 fauna","Layer 2","-","-","-"
"267","Barma Grande","BG, Layer 0, Fauna","Layer 0","-","-","-"
"268","Basura Cave","Basura, SU2, fauna","P1 SU2","-","-","-"
"269","Basura Cave","Basura, SU2, fauna","P2 SU2","-","-","-"
"270","Basura Cave","Basura CdO 1310","P2 SU1","24360","120","14C (radiocarbon) dating"
"271","Basura Cave","Basura CdO 1311","P2 SU2","44870","435","14C (radiocarbon) dating"
"272","Basura Cave","Basura CdO 1312","P2 SU3","49200","575","14C (radiocarbon) dating"
"273","Basura Cave","Basura CdO 1309","P2 SU3","31100","185","14C (radiocarbon) dating"
"274","Bau de l Aubesier","Bau de l Aubesier human remains 1","Trench L Unit II","-","-","-"
"275","Bau de l Aubesier","Bau de l Aubesier human remains 1","Trench L Unit III","-","-","-"
"276","Bau de l Aubesier","Bau de l Aubesier human remains 1","Trench L Unit IV","-","-","-"
"277","Bau de l Aubesier","Bau de l Aubesier layer IV human remains","Trench L Unit IV","-","-","-"
"278","Bau de l Aubesier","Bau de l Aubesier layer II human remains","Trench L Unit II","-","-","-"
"279","Bau de l Aubesier","Bau de l Aubesier layer IV human remains 1","Trench L Unit IV","-","-","-"
"280","Bau de l Aubesier","Bau de l Aubesier layer IV human remains 2","Trench L Unit IV","-","-","-"
"281","Bau de l Aubesier","Bau de l Aubesier layer IV human remains 3","Trench L Unit IV","-","-","-"
"282","Bau de l Aubesier","Bau de l Aubesier layer IV human remains 4","Trench L Unit IV","-","-","-"
"283","Bau de l Aubesier","Bau de l Aubesier layer IV human remains 5","Trench L Unit IV","-","-","-"
"284","Bau de l Aubesier","Bau de l Aubesier layer I-3 human remains","Lower Slope Unit I","-","-","-"
"285","Bau de l Aubesier","Bau de l Aubesier layer I-2 human remains","Lower Slope Unit I","-","-","-"
"286","Bau de l Aubesier","Bau de l Aubesier layer IV human remains 6","Trench L Unit IV","-","-","-"
"287","Bau de l Aubesier","Bau de l Aubesier Niveau superieur fauna","Lower Slope Unit B","-","-","-"
"288","Bau de l Aubesier","Bau de l Aubesier Niveau superieur fauna","Lower Slope Unit C","-","-","-"
"289","Bau de l Aubesier","Bau de l Aubesier Niveau superieur fauna","Trench L Unit II","-","-","-"
"290","Bau de l Aubesier","Bau de l Aubesier Niveau superieur fauna","Trench L Unit III","-","-","-"
"291","Bau de l Aubesier","Bau de l Aubesier Niveau IV fauna","Lower Slope Unit E","-","-","-"
"292","Bau de l Aubesier","Bau de l Aubesier Niveau IV fauna","Lower Slope Unit F","-","-","-"
"293","Bau de l Aubesier","Bau de l Aubesier Niveau IV fauna","Lower Slope Unit G","-","-","-"
"294","Bau de l Aubesier","Bau de l Aubesier Niveau IV fauna","Trench L Unit IV","-","-","-"
"295","Bau de l Aubesier","Bau de l Aubesier Niveau IV fauna","Trench L Unit V","-","-","-"
"296","Bau de l Aubesier","Bau de l Aubesier Niveau H fauna","Lower Slope Unit H","-","-","-"
"297","Bau de l Aubesier","Bau de l Aubesier Niveau I fauna","Lower Slope Unit I","-","-","-"
"298","Baume Bonne","Baume Bonne Layer IV fauna","Unit IVa","-","-","-"
"299","Baume Bonne","Baume Bonne Layer IV fauna","Unit IVb","-","-","-"
"300","Baume Bonne","Baume Bonne Layer IV fauna","Unit IVc","-","-","-"
"301","Baume Bonne","Baume Bonne Layer M fauna","Unit M","-","-","-"
"302","Baume Flandin","Baume Flandin Fauna Level 1-2","Terrace Unit 1","-","-","-"
"303","Baume Flandin","Baume Flandin Fauna Level 1-2","Terrace Unit 2","-","-","-"
"304","Baume Flandin","Baume Flandin Fauna Level 3","Terrace Unit 3","-","-","-"
"305","Baume Flandin","Baume Flandin Fauna Middle Palaeolithic Level","Cave Unit 1","-","-","-"
"306","Baume Flandin","Baume Flandin, Level 1-2, Micromammals","Terrace Unit 1","-","-","-"
"307","Baume Flandin","Baume Flandin, Level 1-2, Micromammals","Terrace Unit 2","-","-","-"
