Dummy,Locality,Assemblage name,GeoLayer,Laboratory,Analysis number,Age,Pos. standard deviation,Neg. standard deviation,Dating method,Material dated,Date of analysis,Comments
,,,,-,-,19500,1600,1600,TL (thermoluminescence) dating,sediment,,"after Rousseau et al (1998). Unfortunately, there is no correlation with the fine sequence for the dates"
,,,,,,,,,,,,
,,,,-,-,24000,2700,2700,TL (thermoluminescence) dating,sediment,,"after Rousseau et al (1998). Unfortunately, there is no correlation with the fine sequence for the dates"
,Achenheim,"Loess recent, Micromammals",Lower recent loess,-,-,34100,4300,4300,TL (thermoluminescence) dating,sediment,1998,"after Rousseau et al (1998). Unfortunately, there is no correlation with the fine sequence for the dates"
,,,,,,,,,,,,
,,,,-,-,37500,2900,2900,TL (thermoluminescence) dating,sediment,,"after Rousseau et al (1998). Unfortunately, there is no correlation with the fine sequence for the dates"
,,,,,,,,,,,,
,,,,-,-,41500,5100,5100,TL (thermoluminescence) dating,sediment,,"after Rousseau et al (1998). Unfortunately, there is no correlation with the fine sequence for the dates"
,,,,,,,,,,,,
,,,,-,-,42700,7700,7700,TL (thermoluminescence) dating,sediment,,"after Rousseau et al (1998). Unfortunately, there is no correlation with the fine sequence for the dates"
,,,,,,,,,,,,
,,,,-,-,64900,5100,4700,TL (thermoluminescence) dating,sediment,,"after Rousseau et al (1998). Unfortunately, there is no correlation with the fine sequence for the dates"
,,,,,,,,,,,,
,,,,-,-,65300,8500,8500,TL (thermoluminescence) dating,sediment,,"after Rousseau et al (1998). Unfortunately, there is no correlation with the fine sequence for the dates"
,Achenheim,"Loess recent, Micromammals",Upper recent loess,-,-,17000,2500,2500,TL (thermoluminescence) dating,sediment,1998,"after Rousseau et al (1998). Unfortunately, there is no correlation with the fine sequence for the dates"
,,,,,,,,,,,,
,,,,-,-,19500,1600,1600,TL (thermoluminescence) dating,sediment,,"after Rousseau et al (1998). Unfortunately, there is no correlation with the fine sequence for the dates"
,,,,,,,,,,,,
,,,,-,-,24000,2700,2700,TL (thermoluminescence) dating,sediment,,"after Rousseau et al (1998). Unfortunately, there is no correlation with the fine sequence for the dates"
,Achenheim,"Loess ancien sup., Fauna",Upper ancient loess,-,-,-,-,-,-,-,-,-
,Achenheim,"Loess ancien sup., Micromammals",Upper ancient loess,-,-,-,-,-,-,-,-,-
,Aghitu-3 Cave,Fauna Layer AH III,GH 3,-,-,-,-,-,-,-,-,-
,Aghitu-3 Cave,Fauna Layer AH IV,GH 4,-,-,-,-,-,-,-,-,-
,Aghitu-3 Cave,Fauna Layer AH IV,GH 5,-,-,-,-,-,-,-,-,-
,Aghitu-3 Cave,Fauna Layer AH IV,GH 6,-,-,-,-,-,-,-,-,-
,Aghitu-3 Cave,Fauna Layer AH IV,GH 7,-,-,-,-,-,-,-,-,-
,Aghitu-3 Cave,Fauna Layer AH V,GH 8,-,-,-,-,-,-,-,-,-
,Aghitu-3 Cave,Fauna Layer AH VI,GH 10,-,-,-,-,-,-,-,-,-
,Aghitu-3 Cave,Fauna Layer AH VII,GH 11,-,-,-,-,-,-,-,-,-
,Al Wusta,Archaeological horizon assemblage,Unit 3a,-,-,98600,7000,7000,OSL (optically stimulated thermoluminescence) dating,-,2018,PD40
,,,,,,,,,,,,
,,,,-,-,103000,10000,10000,ESR (electron spin resonance) dating,-,,WU1601
,Al Wusta,Archaeological horizon assemblage,Unit 3b,-,-,87600,2500,2500,U series (uranium-thorium) dating,-,2018,AW-1
,Al Wusta,"AW, Unit 3-2, Fauna",Unit 2,-,-,-,-,-,-,-,-,-
,Al Wusta,"AW, Unit 3-2, Fauna",Unit 3a,-,-,98600,7000,7000,OSL (optically stimulated thermoluminescence) dating,-,2018,PD40
,,,,,,,,,,,,
,,,,-,-,103000,10000,10000,ESR (electron spin resonance) dating,-,,WU1601
,Al Wusta,"AW, Unit 3-2, Fauna",Unit 3b,-,-,87600,2500,2500,U series (uranium-thorium) dating,-,2018,AW-1
