"","Summary Statistic","mean","median","lower 95% HPD interval","upper 95% HPD interval","Group"
"208","Goyet Q305-1",78747.6548,71676.8597,30019.1282,145070,"Strict | Sample from prior"
"209","Goyet Q305-4",44292.1775,44294.2411,43448.8899,45080.8273,"Strict | Sample from prior"
"210","Goyet Q56-1",42527.165,42517.6165,42082.1221,42950.8412,"Strict | Sample from prior"
"211","GoyetQ57-2",41202.4602,41198.1304,40625.1494,41740.4009,"Strict | Sample from prior"
"212","Hohlenstein-Stadel",264850,274550,197580,3e+05,"Strict | Sample from prior"
"213","LesCottesZ4-1514",43240.9297,43245.5904,42773.2307,43739.9982,"Strict | Sample from prior"
"214","Mezmaiskaya 1",154490,153590,39556.4897,269500,"Strict | Sample from prior"
"215","Mezmaiskaya 2",43790.2734,43798.1413,43042.8877,44597.5398,"Strict | Sample from prior"
"216","Mezmaiskaya 3",155190,155140,41589.0913,267940,"Strict | Sample from prior"
"217","Okladnikov 2",139290,135480,54642.7388,236300,"Strict | Sample from prior"
"218","Pesturina 3",157410,158370,41447.6207,269800,"Strict | Sample from prior"
"219","Riparo Broion",42260.3911,39681.9004,30000.8946,63880.7967,"Strict | Sample from prior"
"220","Scladina I-4A",241410,250250,157940,299980,"Strict | Sample from prior"
"221","Spy94a",41418.689,41382.1745,39705.9845,43083.6408,"Strict | Sample from prior"
"222","Stajnia S5000",156020,155660,39674.989,267750,"Strict | Sample from prior"
"223","Thorin",156580,156220,42172.5819,269410,"Strict | Sample from prior"
"224","Trou Magritte 2422-36",61270.1991,55897.4652,30012.5713,108510,"Strict | Sample from prior"
"225","Vindija 33.16",44080.3718,44288.0244,39826.5941,48179.5417,"Strict | Sample from prior"
"226","Vindija 33.17",52865.1434,49102.3416,30000.3425,84862.8314,"Strict | Sample from prior"
"227","Vindija 33.19",44911.8036,44976.2628,42316.2411,47599.2814,"Strict | Sample from prior"
"228","Vindija 33.25",61429.0099,55975.4873,30001.3175,108870,"Strict | Sample from prior"
"229","Chagyrskaya 01",142130,137460,51695.435,237070,"Strict | Thorin tip date | Sample from prior"
"230","Chagyrskaya 02",141570,137200,52393.9781,237560,"Strict | Thorin tip date | Sample from prior"
"231","Chagyrskaya 17",142830,138910,51747.8439,237580,"Strict | Thorin tip date | Sample from prior"
"232","Chagyrskaya 18",141760,137760,52314.2347,237840,"Strict | Thorin tip date | Sample from prior"
"233","Chagyrskaya 19",142020,137980,53956.5988,236450,"Strict | Thorin tip date | Sample from prior"
"234","Chagyrskaya 20",142460,138580,51124.2098,237720,"Strict | Thorin tip date | Sample from prior"
"235","Chagyrskaya 41",142490,138570,50052.8254,235860,"Strict | Thorin tip date | Sample from prior"
"236","Chagyrskaya 8",141420,137500,52711.7813,238160,"Strict | Thorin tip date | Sample from prior"
"237","Denisova 11",141780,137270,52791.9107,238530,"Strict | Thorin tip date | Sample from prior"
"238","Denisova 15",238180,246770,151110,3e+05,"Strict | Thorin tip date | Sample from prior"
"239","Denisova 17",244390,251260,171490,299990,"Strict | Thorin tip date | Sample from prior"
"240","Denisova 5",237700,246690,148880,299980,"Strict | Thorin tip date | Sample from prior"
"241","El Sidron 1253",43872.9769,43978.9195,40738.7178,47048.6252,"Strict | Thorin tip date | Sample from prior"
"242","Feldhofer 1",43698.0934,43687.0635,42676.58,44648.8247,"Strict | Thorin tip date | Sample from prior"
"243","Feldhofer 2",43301.4537,43320.8635,42307.3832,44339.1758,"Strict | Thorin tip date | Sample from prior"
"244","Fonds de Foret",39519.6985,39519.9653,38517.324,40599.2488,"Strict | Thorin tip date | Sample from prior"
"245","Goyet 2878-2D",41902.1971,39454.2559,30000.1229,62659.8028,"Strict | Thorin tip date | Sample from prior"
"246","Goyet Q305-1",79353.5311,72177.4942,30007.4669,147530,"Strict | Thorin tip date | Sample from prior"
"247","Goyet Q305-4",44288.0272,44285.5198,43440.1498,45072.8235,"Strict | Thorin tip date | Sample from prior"
"248","Goyet Q56-1",42527.2024,42522.5339,42082.5587,42952.1967,"Strict | Thorin tip date | Sample from prior"
"249","GoyetQ57-2",41209.0699,41207.4492,40636.0637,41755.4786,"Strict | Thorin tip date | Sample from prior"
"250","Hohlenstein-Stadel",264030,273390,198190,3e+05,"Strict | Thorin tip date | Sample from prior"
"251","LesCottesZ4-1514",43243.6126,43249.4819,42776.2371,43739.3092,"Strict | Thorin tip date | Sample from prior"
"252","Mezmaiskaya 1",149040,147630,38334.8672,265560,"Strict | Thorin tip date | Sample from prior"
"253","Mezmaiskaya 2",43791.2215,43800.9943,43021.3241,44576.2894,"Strict | Thorin tip date | Sample from prior"
"254","Mezmaiskaya 3",147640,145950,36072.0104,262530,"Strict | Thorin tip date | Sample from prior"
"255","Okladnikov 2",142940,138640,53708.7731,240470,"Strict | Thorin tip date | Sample from prior"
"256","Pesturina 3",147780,144960,35689.9396,263340,"Strict | Thorin tip date | Sample from prior"
"257","Riparo Broion",41998.993,39598.7353,30002.8531,62846.9525,"Strict | Thorin tip date | Sample from prior"
"258","Scladina I-4A",237590,246240,149610,299990,"Strict | Thorin tip date | Sample from prior"
"259","Spy94a",41418.5214,41393.3186,39700.1649,43084.4355,"Strict | Thorin tip date | Sample from prior"
"260","Stajnia S5000",147800,144240,35869.4584,261880,"Strict | Thorin tip date | Sample from prior"
"261","Thorin",50210.0742,50326.9437,45558.8123,54990.8422,"Strict | Thorin tip date | Sample from prior"
"262","Trou Magritte 2422-36",61796.9148,55868.0122,30000.4258,111460,"Strict | Thorin tip date | Sample from prior"
"263","Vindija 33.16",44070.3567,44260.7601,39821.6039,48173.7368,"Strict | Thorin tip date | Sample from prior"
"264","Vindija 33.17",52633.2013,48561.2177,30002.9127,85462.1964,"Strict | Thorin tip date | Sample from prior"
"265","Vindija 33.19",44897.8716,44946.583,42327.2035,47598.4486,"Strict | Thorin tip date | Sample from prior"
"266","Vindija 33.25",62305.8271,56399.0236,30001.3756,112640,"Strict | Thorin tip date | Sample from prior"
