"","Locality","Assemblage","GeoLayer.Name","Country","Locality.Type","X","Y","Technocomplex","Geostrat..Info..age.min","Geostrat..Info..age.max","Geostrat..Info..correlation","Geostrat..Info..mis","NISP.Sum.class.Mammalia","NISP.Sum.order.Rodentia","NISP.Sum.family.Anatidae","meanage","sdage"
"110","Ararat-1 Cave","Unit 3, Fauna","Unit 3","Armenia","cave",44.77,39.85,"",39050,47200,"14C (radiocarbon) dating, OSL (optically stimulated thermoluminescence) dating","3","1","-","-",43020,1
"111","Ararat-1 Cave","Unit 4, Fauna","Unit 4","Armenia","cave",44.77,39.85,"",48800,56000,"OSL (optically stimulated thermoluminescence) dating","3","9","-","-",52400,1
"112","Ararat-1 Cave","Unit 1, micromammals","Unit 1","Armenia","cave",44.77,39.85,"",0,35900,"stratigraphy","-","5","4","-",NA,NA
"113","Ararat-1 Cave","Unit 2a, micromammals","Unit 2a","Armenia","cave",44.77,39.85,"",30900,35900,"OSL (optically stimulated thermoluminescence) dating","3","26","26","-",186600,0.499999979217537
"114","Ararat-1 Cave","Unit 2b, micromammals","Unit 2b","Armenia","cave",44.77,39.85,"",32600,37600,"OSL (optically stimulated thermoluminescence) dating","3","33","22","-",184900,0.199999999846077
"115","Ararat-1 Cave","Unit 2c, micromammals","Unit 2c","Armenia","cave",44.77,39.85,"",32600,48100,"stratigraphy","3","4","2","-",NA,NA
"116","Ararat-1 Cave","Unit 2d, micromammals","Unit 2d","Armenia","cave",44.77,39.85,"",42100,48100,"OSL (optically stimulated thermoluminescence) dating","3","14","4","-",45100,1
"117","Ararat-1 Cave","Unit 3, micromammals","Unit 3","Armenia","cave",44.77,39.85,"",39050,47200,"14C (radiocarbon) dating, OSL (optically stimulated thermoluminescence) dating","3","10","5","-",43020,1
"118","Ararat-1 Cave","Unit 4, micromammals","Unit 4","Armenia","cave",44.77,39.85,"",48800,56000,"OSL (optically stimulated thermoluminescence) dating","3","18","14","-",52400,1
"119","Ararat-1 Cave","Unit 5, micromammals","Unit 5","Armenia","cave",44.77,39.85,"",48800,56000,"OSL (optically stimulated thermoluminescence) dating","3","3","-","-",NA,NA
"120","Arbreda Cave","Arbreda Cave Archaeological Layer I Micromammal Fauna","Layer B1_Mousterian","Spain","cave",2.746944,42.160556,"MP/ Mousterian - Eurasia",31650,46300,"14C (radiocarbon) dating","-","200","","-",36452,1
"121","Arbreda Cave","Arbreda Cave Archaeological Layer H Micromammal Fauna","Layer B1_Proto-Aurignacian","Spain","cave",2.746944,42.160556,"UP/ Proto-Aurignacian",22467,45840,"14C (radiocarbon) dating","-","","","-",41175,1
"122","Arbreda Cave","Arbreda Cave Archaeological Layer G Micromammal Fauna","Layer B1_Gravettian","Spain","cave",2.746944,42.160556,"UP/ Gravettian",22467,28570,"14C (radiocarbon) dating","-","","","-",32143,1
"123","Arbreda Cave","Arbreda Cave Archaeological Layer F Micromammal Fauna","Layer B1_Gravettian","Spain","cave",2.746944,42.160556,"UP/ Gravettian",22467,28570,"14C (radiocarbon) dating","-","","","-",32143,1
