"Locality","Assemblage","GeoLayer.Name","Country","Locality.Type","X","Y","Technocomplex","Geostrat..Info..age.min","Geostrat..Info..age.max","Geostrat..Info..correlation","Geostrat..Info..mis","NISP.Sum.class.Mammalia","NISP.Sum.order.Rodentia","NISP.Sum.family.Anatidae","meanage","sdage","millenium","bio01","bio05","bio06","bio10","bio11","bio12","bio19","npp","biome","centrank","Suit"
"Guattari","Guattari Layer 5 Fauna","Layer 5","Italy","cave",13.096311,41.232358,"MP/ Middle Paleolithic - Eurasia",55000,80000,"ESR (electron spin resonance) dating, geology (based on position of layers)","-","49","-","-",71099,0.999996908125925,71000,11.9326229095459,18.449254989624,6.16845893859863,17.8270893096924,6.35848999023438,688.226257324219,223.663192749023,148.473724365234,-515325440,NA,NA
"Hallera Av. site","Hallera Av. site Complex A/B Macro-Mammal Fauna","Hallera Av. site Complex B","Poland","open air",16.994615,51.08966,"MP/ Mousterian - Eurasia",49900,115000,"OSL (optically stimulated thermoluminescence) dating, archaeological (cultural) stratigraphy, oxygen isotope stratigraphy","5d-4","739","-","-",59963,1,60000,1.66467297077179,15.3377676010132,-10.9486999511719,13.8549184799194,-9.86746597290039,501.312377929688,37.8251266479492,381.234710693359,8.29725360870361,NA,NA
"Hallera Av. site","Hallera Av. site Complex A/B/C Macro-Mammal Fauna","Hallera Av. site Complex C","Poland","open air",16.994615,51.08966,"MP/ Micoquian",49900,60900,"OSL (optically stimulated thermoluminescence) dating, archaeological (cultural) stratigraphy, oxygen isotope stratigraphy","3","84","-","-",56105,1,56000,1.78387010097504,15.0657444000244,-10.7783041000366,13.9280300140381,-9.64719104766846,500.404449462891,40.5598068237305,364.411834716797,8.21933269500732,NA,NA
"Hallera Av. site","Hallera Av. site Complex D/E Macro-Mammal Fauna","Hallera Av. site Complex D","Poland","open air",16.994615,51.08966,"MP/ Micoquian",21100,55800,"OSL (optically stimulated thermoluminescence) dating, archaeological (cultural) stratigraphy, oxygen isotope stratigraphy","3","9","-","-",53889,0.933375302600154,54000,3.28455567359924,15.8541240692139,-8.95868968963623,14.8836574554443,-7.75632429122925,519.088745117188,50.2609443664551,399.390686035156,7.85898017883301,NA,NA
"Hovk-1 Cave","Unit 8 Macro-Mammal Fauna","Unit 8","Armenia","cave",45.005,40.8225,"",94200,113800,"OSL (optically stimulated thermoluminescence) dating, U series (uranium-thorium) dating","-","63","-","-",104000,1,104000,4.78393173217773,23.1663951873779,-11.8394165039062,20.4074726104736,-10.4258832931519,475.365875244141,30.1314182281494,323.376922607422,15.6476345062256,NA,NA
"Hovk-1 Cave","Unit 6 Macro-Mammal Fauna","Unit 6","Armenia","cave",45.005,40.8225,"",48900,60300,"OSL (optically stimulated thermoluminescence) dating","-","73","-","-",54600,0.999999999361496,55000,3.73635578155518,18.987585067749,-12.1291627883911,16.8407249450684,-10.5257797241211,528.407409667969,41.9088478088379,363.459686279297,11.4937753677368,NA,NA
"Hovk-1 Cave","Unit 6a Micro-Mammal Fauna","Unit 6a","Armenia","cave",45.005,40.8225,"",89100,242100,"U series (uranium-thorium) dating","-","27","25","-",123667,0.83247808470921,124000,7.4268159866333,25.6302738189697,-8.6306619644165,23.048547744751,-7.11972379684448,498.854248046875,39.9848747253418,351.703430175781,17.4272804260254,NA,NA
"Hunas","Hunas unknown Layer Macromammal Fauna","Hunas Layer P","Germany","collapsed cave",11.543733,49.503772,"",67186,87610,"U series (uranium-thorium) dating","5b-5a","","-","-",78424,0.999999998920958,78000,3.67866563796997,13.8443641662598,-5.21694040298462,12.8688097000122,-4.62402534484863,532.207763671875,83.4780426025391,365.210540771484,8.80697154998779,NA,NA
"Jänschwalde","JW Unit 10 Fauna","Unit 10","Germany","open air",14.540268,51.860265,"MP/ Middle Paleolithic - Eurasia",129000,774000,"geology (based on position of layers), macrobotanical remains, palynology","6","61","-","-",110000,1,110000,2.73348760604858,15.2336435317993,-10.001971244812,14.1782865524292,-9.05386352539062,480.147277832031,70.3258819580078,471.086730957031,8.90195846557617,NA,NA
"Jänschwalde","JW Unit 9 Micromammals","Unit 9","Germany","open air",14.540268,51.860265,"",116000,130000,"geology (based on position of layers), macrobotanical remains, palynology","5e","","","-",90832,0.999999999979189,91000,3.7724940776825,15.1128349304199,-9.59636688232422,14.8252477645874,-8.33383846282959,498.742431640625,84.5345001220703,465.037658691406,4,NA,NA
